"","X.source..id","RCT_ID","journal"
"1","CD001081.PUB4","NASCET 1991","NEJM"
"2","CD001081.PUB4","ECST 1998","Lancet"
"3","CD001081.PUB4","VACSP 1991","JAMA"
"4","CD010244.PUB2","Doi 2006","Pancreatology"
"5","CD010244.PUB2","Lygidakis 2004","Hepatogastroenterology"
"6","CD012602.PUB2","Graziosi 2004","Human Reproduction"
"7","CD012602.PUB2","Muffley 2002","American Journal of Obstetrics and Gynecology"
"8","CD012602.PUB2","Shaheen 2007","Pakistan Journal of Medical and Health Sciences"
"9","CD012602.PUB2","Bique 2007","International Journal of Gynecology & Obstetrics"
"10","CD012602.PUB2","Chigbu 2012","East African Medical Journal"
"11","CD012602.PUB2","Dabash 2010","International Journal of Gynecology & Obstetrics"
"12","CD012602.PUB2","Dao 2007","BJOG: an international journal of obstetrics and gynaecology"
"13","CD012602.PUB2","Das 2014","Journal of the Liaquat University of Medical and Health Sciences"
"14","CD012602.PUB2","Ibiyemi 2018","Sultan Qaboos University Medical Journal"
"15","CD012602.PUB2","Montesinos 2011","International Journal of Gynecology & Obstetrics"
"16","CD012602.PUB2","Nwafor 2020","Nigerian Journal of Clinical Practice"
"17","CD012602.PUB2","Patua 2013","Archives of Gynecology and Obstetrics"
"18","CD012602.PUB2","Sahin 2001","European Journal of Contraception & Reproductive Health Care"
"19","CD012602.PUB2","Shwekerela 2007","BJOG: an international journal of obstetrics and gynaecology"
"20","CD012602.PUB2","Taylor 2011","International Journal of Gynecology & Obstetrics"
"21","CD012602.PUB2","Weeks 2005","Obstetrics & Gynecology"
"22","CD012602.PUB2","Chung 1999","British Journal of Obstetrics and Gynaecology"
"23","CD012602.PUB2","Demetroulis 2001","Human Reproduction"
"24","CD012602.PUB2","Ganguly 2010","Nepal Journal of Obstetrics and Gynaecology"
"25","CD012602.PUB2","Kashif 2020","Pakistan Journal of Medical and Health Sciences"
"26","CD012602.PUB2","Kong 2013","Australian & New Zealand Journal of Obstetrics & Gynaecology"
"27","CD012602.PUB2","Zhang 2005","American Journal of Obstetrics & Gynecology"
"28","CD012602.PUB2","Trinder 2006","BJOG: an international journal of obstetrics and gynaecology"
"29","CD012602.PUB2","Niinimaki 2006","Fertility and Sterility"
"30","CD012602.PUB2","Shuaib 2013","Alexandria Journal of Medicine"
"31","CD012602.PUB2","Moodliar 2005","International Journal of Gynecology and Obstetrics"
"32","CD012602.PUB2","de Jonge 1995","BMJ"
"33","CD012602.PUB2","Kyaw 2015","Journal of Obstetrics and Gynaecology Research"
"34","CD006983.PUB3","Ebenezer 1996","International Journal of Leprosy and Other Mycobacterial Diseases"
"35","CD006983.PUB3","Pannikar 1984","International Journal of Leprosy and Other Mycobacterial Diseases"
"36","CD009379.PUB2","Tandon 2011","British Journal of Ophthalmology"
"37","CD003431.PUB3","Evans 2001","Dis. Colon & Rectum"
"38","CD003431.PUB3","Libertiny 2002","Eur J Surg"
"39","CD003431.PUB3","Mentes 2001","Dis. Colon & Rectum"
"40","CD003431.PUB3","Oettle 1997","Dis. Colon & Rectum"
"41","CD003431.PUB3","Richard 2000","Dis. Colon & Rectum"
"42","CD003431.PUB3","Arroyo 2005","Am J Surg"
"43","CD003431.PUB3","Parellada 2004","Dis. Colon & Rectum"
"44","CD003431.PUB3","Mishra 2005","ANZ J Surg"
"45","CD003431.PUB3","Iswariah 2005","ANZ J Surg"
"46","CD003431.PUB3","Ho 2005","Brit J Surg"
"47","CD003431.PUB3","Boschetto 2004","Tech Coloproctology"
"48","CD003431.PUB3","Eshghi 2007","Journal of Medical Sciences"
"49","CD003431.PUB3","Katsinelos 2006","International Journal of Colorectal Disease"
"50","CD003431.PUB3","Siddique 2008","Bangladesh Medical Research Council Bulletin"
"51","CD003431.PUB3","Suknaic 2008","Acta Medica Croatica"
"52","CD001122.PUB5","Palomba 2004","Fertility and Sterility"
"53","CD001122.PUB5","Palomba 2010","American Journal of Obstetrics and Gynecology"
"54","CD001122.PUB5","Zakherah 2010","Fertility and Sterility"
"55","CD001122.PUB5","Bayram 2004","BMJ"
"56","CD001122.PUB5","Farquhar 2002","Human Reproduction"
"57","CD001122.PUB5","Ghafarnegard 2010","Tehran University Medical Journal"
"58","CD001122.PUB5","Yadav 2018","Journal of the South Asian Federation of Obstetrics and Gynaecology"
"59","CD001122.PUB5","Abdellah 2011","International Journal of Gynecology & Obstetrics"
"60","CD001122.PUB5","Liu 2015","Experimental and Therapeutic Medicine"
"61","CD001122.PUB5","Amer 2009","Human Reproduction"
"62","CD001122.PUB5","Roy 2010","Archives of Gynecology and Obstetrics"
"63","CD001122.PUB5","Kaya 2005","Journal of Minimally Invasive Gynecology"
"64","CD001122.PUB5","Lazoviz 1998","Fertility and Sterility"
"65","CD001122.PUB5","Mehrabian 2012","Journal of the Pakistan Medical Association JPMA"
"66","CD001122.PUB5","Vegetti 1998","Human Reproduction"
"67","CD001122.PUB5","Fernandez 2015","Journal de Gynecologie Obstetrique et Biologie de la Reproduction"
"68","CD001122.PUB5","Malkawi 2003","Journal of Obstetrics and Gynaecology"
"69","CD009366.PUB2","Bozkurt 2006","International Angiology"
"70","CD004982.PUB6","Lozano 2003","Vascular and Endovascular Surgery"
"71","CD012017.PUB2","El-Sayed 1996","Australian Journal of Oto‐laryngology"
"72","CD012017.PUB2","Gonzalez 1986","Laryngoscope"
"73","CD004272.PUB3","EORTC 10851 1994","European Journal of Cancer"
"74","CD004272.PUB3","Nottingham 1 2011","BMJ"
"75","CD004272.PUB3","St Georges 1994","Lancet"
"76","CD006714.PUB2","Grimes 1980","American Journal of Obstetrics and Gynecology"
"77","CD010541.PUB3","Wiebe 2001","NEJM"
"78","CD010541.PUB3","Dwivedi 2017","NEJM"
"79","CD013034.PUB2","Willberg 2011","British Journal of Sports Medicine"
