,X.source..id,title,Outcome,surgical_arm,medical_arm,study,year.of.study,unique.ab.,fx_type,event.surg,all.surg,event.control,all.control,RCT_ID,Notes
1,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Medical ovulation induction,Abdellah,2011,,OR,16,73,23,74,Abdellah 2011,
2,CD010287.PUB3,Aromatase inhibitors (letrozole) for subfertile women with polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Letrozele,Abdellah,2011,,RR,16,73,23,74,Abdellah 2011,
3,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Multiple pregnancy,Laparoscopic ovarian drilling,Medical ovulation induction,Abdellah,2011,,OR,0,73,0,74,Abdellah 2011,
4,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Bique,2007,,RR,101,101,101,111,Bique 2007,
5,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Bique,2007,,RR,101,101,101,111,Bique 2007,
6,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Bique,2007,,RR,101,101,10,111,Bique 2007,
7,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Chigbu,2012,,RR,160,160,158,160,Chigbu 2012,
8,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Chigbu,2012,,RR,160,160,158,160,Chigbu 2012,
9,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Chigbu,2012,,RR,160,160,2,160,Chigbu 2012,
10,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Dabash,2010,,RR,346,347,342,348,Dabash 2010,
11,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Dabash,2010,,RR,346,347,342,348,Dabash 2010,
12,CD007223.PUB4,Medical treatments for incomplete miscarriage,Death or serious complication,Suction aspiration,Vaginal or oral misoprostol,Dabash,2010,,RR,0,347,0,348,Dabash 2010,
13,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Dao,2007,,RR,222,224,206,218,Dao 2007,
14,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Dao,2007,,RR,222,224,206,218,Dao 2007,
15,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,Composite outcome of death or serious complication,Suction aspiration,Misoprostol,Dao,2007,,RR,0,224,1,218,Dao 2007,
16,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Dao,2007,,RR,222,224,12,218,Dao 2007,
17,CD009526.PUB2,Ovarian surgery for symptom relief in women with polycystic ovary syndrome,Improvement in androgenic symptoms at 6 months,Laparoscopic ovarian drilling,Gonadotropins,Farquhar,2002,,OR,7,29,2,21,Farquhar 2002,
18,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Medical ovulation induction,Farquhar,2002,,OR,4,29,4,21,Farquhar 2002,
19,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Multiple pregnancy,Laparoscopic ovarian drilling,Medical ovulation induction,Farquhar,2002,,OR,0,29,0,21,Farquhar 2002,
20,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Ganguly,2010,,RR,37,37,63,77,Ganguly 2010,subgroup (incomplete miscarriage)
21,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Ganguly,2010,,RR,59,60,98,120,Ganguly 2010,subgroup (incomplete miscarriage)
22,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,Composite outcome of death or serious complication,Suction aspiration,Misoprostol,Ganguly,2010,,RR,1,60,3,120,Ganguly 2010,
23,CD009526.PUB2,Ovarian surgery for symptom relief in women with polycystic ovary syndrome,Menstrual regularity at 6 months LOD v medical interventions,Laparoscopic ovarian drilling,Gonadotropins,Kaya,2005,,OR,12,17,2,18,Kaya 2005,
24,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Multiple pregnancy,Laparoscopic ovarian drilling,Medical ovulation induction,Kaya,2005,,OR,0,17,2,18,Kaya 2005,
25,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Medical ovulation induction,Liu,2015,,OR,16,70,27,71,Liu 2015,
26,CD010287.PUB3,Aromatase inhibitors (letrozole) for subfertile women with polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Letrozele,Liu,2015,,RR,16,70,27,71,Liu 2015,
27,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Montesinos,2011,,RR,97,97,100,106,Montesinos 2011,
28,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Montesinos,2011,,RR,97,97,100,106,Montesinos 2011,
29,CD007223.PUB4,Medical treatments for incomplete miscarriage,Death or serious complication,Suction aspiration,Vaginal or oral misoprostol,Montesinos,2011,,RR,0,97,0,106,Montesinos 2011,
