X.source..id,title,Outcome,surgical_arm,medical_arm,comment,GRADE.assessment,outcome_type,no..of.studies,TOTAL,effect,effect_type,CI.low,CI.high,direction,meta.analytical.method,comment.meta.analysis,
CD000200.PUB2,Surgery for primary supratentorial intracerebral haemorrhage,Death or dependence at end of follow up,Surgical decompression,"Dexamethasone, antihypertensives and intermittent diuresis",,,composite,9,1994,0.71,OR,0.58,0.88,surgical,fixed,m-h,
CD001081.PUB4,Carotid endarterectomy for symptomatic carotid stenosis,Any stroke or operative death,Aspirin and carotid surgery,Aspirin,,Moderate,composite,3,6090,0.8531,RR,0.7695,0.9458,surgical,fixed,m-h,
CD001081.PUB4,Carotid endarterectomy for symptomatic carotid stenosis,"Ipsilateral ischaemic stroke, and any operative stroke or death near occlusion",Aspirin and carotid surgery,Aspirin,,Moderate,composite,3,6090,0.891,RR,0.6034,1.3156,inconclusive,random,m-h,
CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Medical ovulation induction,,Low,nonmortality,9,1015,0.71,OR,0.54,0.92,drug,fixed,Peto,
CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Multiple pregnancy,Laparoscopic ovarian drilling,Medical ovulation induction,,Moderate,nonmortality,14,1161,0.34,OR,0.18,0.66,surgical,fixed,Peto,adverse event!
CD001532.PUB5,Interventions for primary vesicoureteric reflux,Rate of patients with symptomatic UTI,Surgical reimplantation of ureters,Antibiotics,,,nonmortality,1,297,0.95,RR,0.67,1.35,inconclusive,random,m-h,
CD001552.PUB2,Surgical versus non-surgical treatment for carpal tunnel syndrome,Improvement in clinical symptoms at three months of follow‐up,Open section of the carpal ligament,NSAID and splinting or corticosteroid injections,,,nonmortality,2,245,1.0931,RR,0.9057,1.3194,inconclusive,fixed,m-h,
CD001802.PUB3,Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis,Episodes of moderately or severely sore throat children,Tonsillectomy or adrenotonsillectomy,Watchful waiting with or without analgesics and antibiotics,,Low,nonmortality,4,564,0.6202,MD,0.2151,1.0253,drug,random,iv,
CD001802.PUB3,Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis,Episodes of sore throat of any severity (adults),Tonsillectomy or adrenotonsillectomy,Watchful waiting with or without analgesics and antibiotics,,Moderate,nonmortality,2,156,-3.61,MD,-7.92,-0.7,surgical,random,iv,
CD001802.PUB3,Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis,Episodes of sore throat of any severity (children),Tonsillectomy or adrenotonsillectomy,Watchful waiting with or without analgesics and antibiotics,,Moderate,nonmortality,5,795,-0.56,MD,-1.04,-0.07,surgical,random,iv,
CD001802.PUB3,Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis,Sore throat days (adults),Tonsillectomy or adrenotonsillectomy,Watchful waiting with or without analgesics and antibiotics,,Moderate,nonmortality,2,156,-10.64,MD,-15.52,-5.76,surgical,fixed,iv,
CD001802.PUB3,Tonsillectomy or adenotonsillectomy versus non-surgical treatment for chronic/recurrent acute tonsillitis,Sore throat days (children),Tonsillectomy or adrenotonsillectomy,Watchful waiting with or without analgesics and antibiotics,,Moderate,nonmortality,5,776,-5.13,MD,-8.03,-2.2,surgical,fixed,iv,
CD001923.PUB2,Carotid endarterectomy for asymptomatic carotid stenosis,"Perioperative stroke or death, or stroke of any territory or type during follow up",Carotid endarterectomy and Aspirin 325 mg daily,Aspirin 325 mg daily,,,composite,2,2103,6.49,RR,2.53,16.61,drug,fixed,m-h,
CD002784.PUB3,Surgery versus thrombolysis for initial management of acute limb ischaemia,Limb salvage (30 d),Surgery including primary amputation,Thrombolysis (w/ rt-Pa or urokinase),,Low,nonmortality,3,841,0.8895,OR,0.27,2.9115,inconclusive,random,m-h,
CD003037.PUB2,Medical versus surgical methods for first trimester termination of pregnancy,Abortion not completeted with intended method,Suction aspiration,Vaginal suppositories or im inj. of 9-methylene-PGE2,,,nonmortality,2,472,0.62,OR,0.02,16.6,inconclusive,fixed,m-h,
CD003037.PUB2,Medical versus surgical methods for first trimester termination of pregnancy,Ongoing pregnancy,Suction aspiration,Vaginal suppositories or im inj. of 9-methylene-PGE2,,,mortality,2,472,1.82,OR,0.54,6.25,inconclusive,fixed,m-h,
CD003037.PUB2,Medical versus surgical methods for first trimester termination of pregnancy,Pelvic infection,Suction aspiration,Vaginal suppositories or im inj. of 9-methylene-PGE2,,,nonmortality,1,419,0.46,OR,0.14,1.56,inconclusive,fixed,m-h,
CD003243.PUB3,Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults,GORD-specific quality of life (<1 y),Laparoscopic fundoplication,Protein pump inhibitors,,Low,nonmortality,4,1160,0.58,SMD,0.46,0.7,surgical,fixed,iv,
CD003243.PUB3,Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults,GORD-specific quality of life (1-5 y),Laparoscopic fundoplication,Protein pump inhibitors,,Very Low,nonmortality,3,994,0.28,SMD,-0.27,0.84,inconclusive,random,iv,
CD003243.PUB3,Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults,Health-related quality of life (<1 y),Laparoscopic fundoplication,Protein pump inhibitors,,Very Low,nonmortality,3,605,0.14,SMD,-0.02,0.3,inconclusive,fixed,iv,
CD003243.PUB3,Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults,Health-related quality of life (1-5 y),Laparoscopic fundoplication,Protein pump inhibitors,,Very Low,nonmortality,2,323,0.03,SMD,-0.19,0.24,inconclusive,fixed,iv,
CD003243.PUB3,Laparoscopic fundoplication surgery versus medical management for gastro-oesophageal reflux disease (GORD) in adults,Serious adverse events,Laparoscopic fundoplication,Protein pump inhibitors,,Very Low,composite,2,637,1.46,RR,1.01,2.11,drug,fixed,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Recurrence at five years,Surgical excision,ALA-PDT,,Moderate,nonmortality,1,173,0.083963056,RR,0.020429009,0.344827586,surgical,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Recurrence at three years,Surgical excision,ALA-PDT,,Moderate,nonmortality,1,173,0.09199632,RR,0.022246941,0.380228137,surgical,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Observer‐rated good/excellent cosmetic outcome,Surgical excision,Imiquimod,,Low,nonmortality,1,344,0.588235294,RR,0.465116279,0.740740741,drug,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Patient‐rated good/excellent cosmetic outcome,Surgical excision,Imiquimod,,Low,nonmortality,1,326,1,RR,0.943396226,1.063829787,inconclusive,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Recurrence at five years,Surgical excision,Imiquimod,,Moderate,nonmortality,1,383,0.129366106,RR,0.046948357,0.355871886,surgical,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Recurrence at three years,Surgical excision,Imiquimod,,Moderate,nonmortality,1,401,0.097087379,RR,0.030358227,0.310559006,surgical,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Observer‐rated good/excellent cosmetic outcome,Surgical excision,MAL-PDT,,Moderate,nonmortality,2,351,0.847457627,RR,0.787401575,0.917431193,drug,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Patient‐rated good/excellent cosmetic outcome,Surgical excision,MAL-PDT,,Moderate,nonmortality,2,351,0.534759358,RR,0.442477876,0.649350649,drug,random,m-h,
CD003412.PUB3,Interventions for basal cell carcinoma of the skin,Recurrence at three years,Surgical excision,MAL-PDT,I would say drug as you give a sensitizing drug but borderline,Low,nonmortality,1,68,0.037778617,RR,0.002326014,0.613496933,surgical,random,m-h,
CD003431.PUB3,Non surgical therapy for anal fissure,NON-Healing (persistence or recurrence) 2 mo.,Lateral internal sphincterotomy,Medical therapy (mainly GTN and Botox),"isosorbide dinitrate, botox, gtn, Nifedipine, l-arginine",High,nonmortality,15,979,0.11,OR,0.06,0.23,surgical,random,m-h,
CD003435.PUB2,Surgical decompression for cerebral oedema in acute ischaemic stroke,Death at the end of follow-up,Surgical decompression,"Osmotic agents, blood pressure control, and glucose control","Osmotic agents on schedule to a target osmolality 315 to 320 mOsm, mechanical ventilation, blood pressure control, temperature and glucose control maintaining euvolemia",,mortality,3,134,0.19,OR,0.09,0.37,surgical,fixed,Peto,
CD003712.PUB3,Transmyocardial laser revascularization versus medical therapy for refractory angina,Angina reduction,Transmyocardial lazer revascularization,Continued medication,,Low,nonmortality,7,1051,4.63,OR,3.43,6.25,surgical,fixed,m-h,
CD003712.PUB3,Transmyocardial laser revascularization versus medical therapy for refractory angina,Early postoperative mortality (30 d),Transmyocardial lazer revascularization,Continued medication,,High,mortality,6,967,1.19,OR,0.63,2.24,inconclusive,fixed,m-h,
CD003712.PUB3,Transmyocardial laser revascularization versus medical therapy for refractory angina,Overall mortality,Transmyocardial lazer revascularization,Continued medication,,High,mortality,7,1053,1.12,OR,0.77,1.63,inconclusive,fixed,m-h,
CD003855.PUB3,Surgery versus medical therapy for heavy menstrual bleeding,Adverse events at 4 months,Transcervical resection of endometrium using rollerball coagulation,Hormone therapy or antifibrinolytic,"3 cycles of medical treatment not previously used by patient, as selected by senior gynaecologist (progestogen, combined bill, tranexamic acid, mefenamic acid, danazol, hormone replacement+NSAID)",Moderate,composite,1,186,0.26,RR,0.15,0.46,surgical,fixed,m-h,
CD003855.PUB3,Surgery versus medical therapy for heavy menstrual bleeding,Control of bleeding (cure or improvement to acceptable level) 2 y,Transcervical resection of endometrium using rollerball coagulation,Hormone therapy or antifibrinolytic,"3 cycles of medical treatment not previously used by patient, as selected by senior gynaecologist (progestogen, combined bill, tranexamic acid, mefenamic acid, danazol, hormone replacement+NSAID)",Low,nonmortality,1,173,1.29,RR,1.06,1.57,surgical,fixed,m-h,
CD003855.PUB3,Surgery versus medical therapy for heavy menstrual bleeding,Control of bleeding (cure or improvement to acceptable level) 4 mo.,Transcervical resection of endometrium using rollerball coagulation,Hormone therapy or antifibrinolytic,"3 cycles of medical treatment not previously used by patient, as selected by senior gynaecologist (progestogen, combined bill, tranexamic acid, mefenamic acid, danazol, hormone replacement+NSAID)",Moderate,nonmortality,1,186,2.66,RR,1.94,3.64,surgical,fixed,m-h,
