X.source..id,title
CD005029.PUB2,Treatment for ataxia in multiple sclerosis
CD002138,Hypothermia to reduce neurological damage following coronary artery bypass surgery
CD008107.PUB2,"Perioperative chemo(radio)therapy versus primary surgery for resectable adenocarcinoma of the stomach, gastroesophageal junction, and lower esophagus"
CD007281.PUB2,Interventions for cutaneous Bowen's disease
CD008602.PUB4,Interventions for congenital talipes equinovarus (clubfoot)
CD004461.PUB3,Interventions for recurrent idiopathic epistaxis (nosebleeds) in children
CD006476.PUB3,Management for intussusception in children
CD005118.PUB2,Arthroscopic debridement for knee osteoarthritis
CD009166.PUB2,Cervical stitch (cerclage) for preventing preterm birth in multiple pregnancy
CD002221.PUB2,Interventions for involutional lower lid entropion
CD009379.PUB2,Amniotic membrane transplantation for acute ocular burns
CD003296.PUB3,Retinoids for preventing the progression of cervical intra‐epithelial neoplasia
CD004917.PUB3,Interventions for infantile esotropia
CD002944.PUB2,"Balloon angioplasty, with and without stenting, versus medical therapy for hypertensive patients with renal artery stenosis"
CD003431.PUB3,Non surgical therapy for anal fissure
CD007340.PUB2,Bariatric surgery for non‐alcoholic steatohepatitis in obese patients
CD012834.PUB2,Medical and surgical abortion for women living with HIV
CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome
CD007156.PUB2,Interventions for the management of oral submucous fibrosis
CD012802.PUB2,Ab interno supraciliary microstent surgery for open‐angle glaucoma
CD010273.PUB2,Interventions for treating postpartum constipation
CD001552.PUB2,Surgical versus non‐surgical treatment for carpal tunnel syndrome
CD009366.PUB2,Lumbar sympathectomy versus prostanoids for critical limb ischaemia due to non‐reconstructable peripheral arterial disease
CD012743.PUB2,Ab interno trabecular bypass surgery with iStent for open‐angle glaucoma
CD009266.PUB2,Non‐steroidal antiandrogen monotherapy compared with luteinising hormone–releasing hormone agonists or surgical castration monotherapy for advanced prostate cancer
CD003412.PUB3,Interventions for basal cell carcinoma of the skin
CD007060.PUB2,Liver resection versus other treatments for neuroendocrine tumours in patients with resectable liver metastases
